SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Appling County,Appling County High School,Appling County – Appling County High School,523,421,709,500
Appling County,Appling County Elementary School,Appling County – Appling County Elementary School,79,53,39,15
Appling County,Appling County Middle School,Appling County – Appling County Middle School,233,233,209,217
Appling County,Appling County Primary School,Appling County – Appling County Primary School,155,39,66,54
Appling County,Altamaha Elementary School,Appling County – Altamaha Elementary School,53,41,26,27
Atkinson County,Atkinson County High School,Atkinson County – Atkinson County High School,382,242,202,171
Atkinson County,Atkinson County Middle School,Atkinson County – Atkinson County Middle School,196,166,143,71
Atkinson County,Pearson Elementary School,Atkinson County – Pearson Elementary School,216,165,145,87
Bacon County,Bacon County Primary School,Bacon County – Bacon County Primary School,12,51,22,88
Bacon County,Bacon County Middle School,Bacon County – Bacon County Middle School,363,272,221,197
Bacon County,Bacon County High School,Bacon County – Bacon County High School,388,262,375,163
Bacon County,Bacon County Elementary School,Bacon County – Bacon County Elementary School,24,34,43,68
Baker County,Baker County K12 School,Baker County – Baker County K12 School,241,56,40,60
Baldwin County,Oak Hill MS,Baldwin County – Oak Hill MS,1505,1592,1192,2129
Baldwin County,Eagle Ridge Elementary School,Baldwin County – Eagle Ridge Elementary School,731,392,573,613
Baldwin County,Baldwin High School,Baldwin County – Baldwin High School,2698,2078,1395,1300
Baldwin County,Midway Elementary School,Baldwin County – Midway Elementary School,361,295,230,191
Baldwin County,Blandy Hills Elementary School,Baldwin County – Blandy Hills Elementary School,268,395,148,227
Baldwin County,Creekside Elementary School,Baldwin County – Creekside Elementary School,247,263,374,301
Banks County,Banks County Middle School,Banks County – Banks County Middle School,222,78,18,16
Banks County,Banks County Elementary School,Banks County – Banks County Elementary School,23,97,176,142
Banks County,Banks County High School,Banks County – Banks County High School,55,165,160,89
Barrow County,Apalachee High School,Barrow County – Apalachee High School,944,990,1189,481
Barrow County,County Line Elementary School,Barrow County – County Line Elementary School,108,69,42,22
Barrow County,Haymon-Morris Middle School,Barrow County – Haymon-Morris Middle School,294,402,328,341
Barrow County,College and Career Preparatory Academy,Barrow County – College and Career Preparatory Academy,120,182,,
Barrow County,Bear Creek Middle School,Barrow County – Bear Creek Middle School,620,336,256,230
