SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Appling County – All Schools,3683,57,Appling County's enrollment is in the 57th percentile of all Georgia school systems.,408,11.1,23,Appling County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,813,41,Appling County's total number of discipline incidents is in the 41st percentile of all Georgia school systems.,0.221,25,Appling County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Atkinson County – All Schools,1666,30,Atkinson County's enrollment is in the 30th percentile of all Georgia school systems.,187,11.2,25,Atkinson County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,329,19,Atkinson County's total number of discipline incidents is in the 19th percentile of all Georgia school systems.,0.197,19,Atkinson County's incidents per student rate is in the 19th percentile of all Georgia school systems.
Atlanta Public Schools – All Schools,52537,97,Atlanta Public Schools's enrollment is in the 97th percentile of all Georgia school systems.,7770,14.8,47,Atlanta Public Schools's percentage of students with discipline incidents is in the 47th percentile of all Georgia school systems.,16765,95,Atlanta Public Schools's total number of discipline incidents is in the 95th percentile of all Georgia school systems.,0.319,47,Atlanta Public Schools's incidents per student rate is in the 47th percentile of all Georgia school systems.
Bacon County – All Schools,2308,39,Bacon County's enrollment is in the 39th percentile of all Georgia school systems.,258,11.2,25,Bacon County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,516,27,Bacon County's total number of discipline incidents is in the 27th percentile of all Georgia school systems.,0.224,25,Bacon County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Baker County – All Schools,347,4,Baker County's enrollment is in the 4th percentile of all Georgia school systems.,42,12.1,28,Baker County's percentage of students with discipline incidents is in the 28th percentile of all Georgia school systems.,60,8,Baker County's total number of discipline incidents is in the 8th percentile of all Georgia school systems.,0.173,16,Baker County's incidents per student rate is in the 16th percentile of all Georgia school systems.
Baldwin County – All Schools,5970,72,Baldwin County's enrollment is in the 72nd percentile of all Georgia school systems.,1515,25.4,89,Baldwin County's percentage of students with discipline incidents is in the 89th percentile of all Georgia school systems.,4761,86,Baldwin County's total number of discipline incidents is in the 86th percentile of all Georgia school systems.,0.797,93,Baldwin County's incidents per student rate is in the 93rd percentile of all Georgia school systems.
Banks County – All Schools,2333,40,Banks County's enrollment is in the 40th percentile of all Georgia school systems.,162,6.9,8,Banks County's percentage of students with discipline incidents is in the 8th percentile of all Georgia school systems.,247,14,Banks County's total number of discipline incidents is in the 14th percentile of all Georgia school systems.,0.106,8,Banks County's incidents per student rate is in the 8th percentile of all Georgia school systems.
Barrow County – All Schools,14756,88,Barrow County's enrollment is in the 88th percentile of all Georgia school systems.,1417,9.6,15,Barrow County's percentage of students with discipline incidents is in the 15th percentile of all Georgia school systems.,3008,78,Barrow County's total number of discipline incidents is in the 78th percentile of all Georgia school systems.,0.204,21,Barrow County's incidents per student rate is in the 21st percentile of all Georgia school systems.
Bartow County – All Schools,10356,83,Bartow County's enrollment is in the 83rd percentile of all Georgia school systems.,1749,16.9,59,Bartow County's percentage of students with discipline incidents is in the 59th percentile of all Georgia school systems.,4167,82,Bartow County's total number of discipline incidents is in the 82nd percentile of all Georgia school systems.,0.402,59,Bartow County's incidents per student rate is in the 59th percentile of all Georgia school systems.
Ben Hill County – All Schools,3450,55,Ben Hill County's enrollment is in the 55th percentile of all Georgia school systems.,796,23.1,82,Ben Hill County's percentage of students with discipline incidents is in the 82nd percentile of all Georgia school systems.,2204,69,Ben Hill County's total number of discipline incidents is in the 69th percentile of all Georgia school systems.,0.639,85,Ben Hill County's incidents per student rate is in the 85th percentile of all Georgia school systems.
