SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Appling County,All Schools,3683,Appling County's enrollment is in the 57th percentile of all Georgia school systems.,408,11.1,Appling County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,813,Appling County's total number of discipline incidents is in the 41st percentile of all Georgia school systems.,0.221,Appling County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Atkinson County,All Schools,1666,Atkinson County's enrollment is in the 30th percentile of all Georgia school systems.,187,11.2,Atkinson County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,329,Atkinson County's total number of discipline incidents is in the 19th percentile of all Georgia school systems.,0.197,Atkinson County's incidents per student rate is in the 19th percentile of all Georgia school systems.
Atlanta Public Schools,All Schools,52537,Atlanta Public Schools's enrollment is in the 97th percentile of all Georgia school systems.,7770,14.8,Atlanta Public Schools's percentage of students with discipline incidents is in the 47th percentile of all Georgia school systems.,16765,Atlanta Public Schools's total number of discipline incidents is in the 95th percentile of all Georgia school systems.,0.319,Atlanta Public Schools's incidents per student rate is in the 47th percentile of all Georgia school systems.
Bacon County,All Schools,2308,Bacon County's enrollment is in the 39th percentile of all Georgia school systems.,258,11.2,Bacon County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,516,Bacon County's total number of discipline incidents is in the 27th percentile of all Georgia school systems.,0.224,Bacon County's incidents per student rate is in the 25th percentile of all Georgia school systems.
Baker County,All Schools,347,Baker County's enrollment is in the 4th percentile of all Georgia school systems.,42,12.1,Baker County's percentage of students with discipline incidents is in the 28th percentile of all Georgia school systems.,60,Baker County's total number of discipline incidents is in the 8th percentile of all Georgia school systems.,0.173,Baker County's incidents per student rate is in the 16th percentile of all Georgia school systems.
Baldwin County,All Schools,5970,Baldwin County's enrollment is in the 72nd percentile of all Georgia school systems.,1515,25.4,Baldwin County's percentage of students with discipline incidents is in the 89th percentile of all Georgia school systems.,4761,Baldwin County's total number of discipline incidents is in the 86th percentile of all Georgia school systems.,0.797,Baldwin County's incidents per student rate is in the 93rd percentile of all Georgia school systems.
Banks County,All Schools,2333,Banks County's enrollment is in the 40th percentile of all Georgia school systems.,162,6.9,Banks County's percentage of students with discipline incidents is in the 8th percentile of all Georgia school systems.,247,Banks County's total number of discipline incidents is in the 14th percentile of all Georgia school systems.,0.106,Banks County's incidents per student rate is in the 8th percentile of all Georgia school systems.
Barrow County,All Schools,14756,Barrow County's enrollment is in the 88th percentile of all Georgia school systems.,1417,9.6,Barrow County's percentage of students with discipline incidents is in the 15th percentile of all Georgia school systems.,3008,Barrow County's total number of discipline incidents is in the 78th percentile of all Georgia school systems.,0.204,Barrow County's incidents per student rate is in the 21st percentile of all Georgia school systems.
Bartow County,All Schools,10356,Bartow County's enrollment is in the 83rd percentile of all Georgia school systems.,1749,16.9,Bartow County's percentage of students with discipline incidents is in the 59th percentile of all Georgia school systems.,4167,Bartow County's total number of discipline incidents is in the 82nd percentile of all Georgia school systems.,0.402,Bartow County's incidents per student rate is in the 59th percentile of all Georgia school systems.
Ben Hill County,All Schools,3450,Ben Hill County's enrollment is in the 55th percentile of all Georgia school systems.,796,23.1,Ben Hill County's percentage of students with discipline incidents is in the 82nd percentile of all Georgia school systems.,2204,Ben Hill County's total number of discipline incidents is in the 69th percentile of all Georgia school systems.,0.639,Ben Hill County's incidents per student rate is in the 85th percentile of all Georgia school systems.
Berrien County,All Schools,3435,Berrien County's enrollment is in the 54th percentile of all Georgia school systems.,514,15,Berrien County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,1263,Berrien County's total number of discipline incidents is in the 52nd percentile of all Georgia school systems.,0.368,Berrien County's incidents per student rate is in the 55th percentile of all Georgia school systems.
Bibb County,All Schools,27254,Bibb County's enrollment is in the 92nd percentile of all Georgia school systems.,6472,23.7,Bibb County's percentage of students with discipline incidents is in the 85th percentile of all Georgia school systems.,17934,Bibb County's total number of discipline incidents is in the 96th percentile of all Georgia school systems.,0.658,Bibb County's incidents per student rate is in the 86th percentile of all Georgia school systems.
Bleckley County,All Schools,2682,Bleckley County's enrollment is in the 44th percentile of all Georgia school systems.,336,12.5,Bleckley County's percentage of students with discipline incidents is in the 33rd percentile of all Georgia school systems.,745,Bleckley County's total number of discipline incidents is in the 38th percentile of all Georgia school systems.,0.278,Bleckley County's incidents per student rate is in the 36th percentile of all Georgia school systems.
Brantley County,All Schools,3784,Brantley County's enrollment is in the 59th percentile of all Georgia school systems.,395,10.4,Brantley County's percentage of students with discipline incidents is in the 19th percentile of all Georgia school systems.,808,Brantley County's total number of discipline incidents is in the 40th percentile of all Georgia school systems.,0.214,Brantley County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
Bremen City,All Schools,1599,Bremen City's enrollment is in the 28th percentile of all Georgia school systems.,107,6.7,Bremen City's percentage of students with discipline incidents is in the 8th percentile of all Georgia school systems.,144,Bremen City's total number of discipline incidents is in the 12th percentile of all Georgia school systems.,0.09,Bremen City's incidents per student rate is in the 7th percentile of all Georgia school systems.
